,Dimer ID,Time (ps),Mean Distance,Centroid Distance,Distance of Wing Roots,Angle of Wing1,Angle of Wing2,Theta_n,Theta_w
0,H,0.0,14.04,5.25,10.01,94.75,92.46,12.91,166.86
1,H,0.1,14.09,5.36,10.18,93.6,91.77,12.34,168.06
2,H,0.2,14.14,5.45,10.31,93.18,91.75,11.81,168.4
3,H,0.3,14.18,5.51,10.33,93.03,91.97,12.86,167.23
4,H,0.4,14.21,5.55,10.39,92.84,91.49,12.88,167.18
5,H,0.5,14.23,5.57,10.36,93.6,92.18,12.17,168.06
6,H,0.6,14.22,5.57,10.39,93.16,92.16,10.63,169.75
7,H,0.7,14.22,5.55,10.34,92.69,91.86,10.37,170.16
8,H,0.8,14.2,5.5,10.39,92.04,91.41,10.0,170.38
9,H,0.9,14.16,5.43,10.38,91.0,91.52,8.85,171.61
10,H,1.0,14.11,5.36,10.34,90.7,91.67,7.19,173.03
11,H,1.1,14.09,5.29,10.19,91.35,92.69,5.74,174.51
12,H,1.2,14.08,5.24,10.07,92.13,93.87,4.31,175.71
13,H,1.3,14.08,5.21,9.97,93.09,94.84,3.56,175.93
14,H,1.4,14.11,5.19,9.97,93.15,95.0,1.84,175.88
15,H,1.5,14.14,5.17,9.92,93.01,95.44,0.63,176.18
16,H,1.6,14.18,5.18,9.99,92.58,95.0,1.81,175.81
17,H,1.7,14.21,5.22,10.06,91.99,94.69,3.28,174.92
18,H,1.8,14.22,5.26,10.1,91.6,94.24,5.03,173.46
19,H,1.9,14.22,5.28,10.12,91.77,94.11,6.29,171.98
20,H,2.0,14.18,5.3,10.11,91.75,94.75,6.78,171.32
21,H,2.1,14.16,5.33,10.11,91.62,94.74,7.77,170.2
22,H,2.2,14.16,5.39,10.24,90.79,93.63,7.0,170.52
23,H,2.3,14.15,5.44,10.33,89.97,93.15,6.94,169.98
24,H,2.4,14.18,5.48,10.41,89.56,93.38,8.04,168.95
25,H,2.5,14.18,5.53,10.4,89.59,93.97,9.31,168.15
26,H,2.6,14.19,5.56,10.38,90.43,95.38,10.57,167.16
27,H,2.7,14.22,5.6,10.32,92.59,96.47,9.59,167.63
28,H,2.8,14.24,5.63,10.26,93.96,97.33,8.96,167.61
29,H,2.9,14.27,5.64,10.2,95.29,98.0,8.94,167.41
30,H,3.0,14.29,5.63,10.27,95.99,98.07,9.56,166.64
31,H,3.1,14.28,5.61,10.21,96.06,98.67,10.08,166.33
32,H,3.2,14.27,5.55,10.11,96.69,99.41,9.49,166.62
33,H,3.3,14.24,5.49,9.98,98.31,100.07,7.51,167.57
34,H,3.4,14.18,5.44,9.86,99.28,100.16,6.02,167.82
35,H,3.5,14.23,5.44,9.97,99.24,99.16,5.83,167.83
36,H,3.6,14.23,5.48,10.03,99.15,97.57,5.8,167.28
37,H,3.7,14.25,5.52,10.14,98.17,97.01,5.74,167.55
38,H,3.8,14.25,5.53,10.13,97.27,97.11,4.19,167.0
39,H,3.9,14.26,5.52,10.13,96.82,97.13,3.03,165.57
40,H,4.0,14.22,5.51,10.08,97.0,97.16,1.68,164.46
41,H,4.1,14.21,5.53,10.18,95.64,96.57,1.95,164.68
42,H,4.2,14.25,5.55,10.22,95.29,95.36,2.6,164.48
43,H,4.3,14.24,5.55,10.27,95.58,94.43,3.19,163.73
44,H,4.4,14.22,5.52,10.23,95.38,94.8,4.12,162.82
45,H,4.5,14.23,5.49,10.14,95.7,95.59,5.11,162.17
46,H,4.6,14.21,5.46,10.1,95.55,96.21,5.76,162.15
47,H,4.7,14.19,5.44,10.08,94.94,96.9,6.72,162.41
48,H,4.8,14.22,5.43,10.1,94.98,96.99,9.0,161.8
49,H,4.9,14.22,5.42,10.1,94.75,96.83,9.03,161.43
50,H,5.0,14.21,5.4,10.02,96.16,96.59,9.85,160.42
51,H,5.1,14.21,5.39,9.96,97.39,97.0,9.74,160.66
52,H,5.2,14.2,5.39,9.94,97.63,97.55,9.16,161.75
53,H,5.3,14.16,5.39,9.91,98.26,97.64,9.7,162.16
