,Dimer ID,Time (ps),Mean Distance,Centroid Distance,Distance of Wing Roots,Angle of Wing1,Angle of Wing2,Theta_n,Theta_w
0,I,0.0,14.19,5.99,11.14,80.21,94.4,2.51,178.09
1,I,0.1,14.21,5.97,11.14,81.47,92.73,1.88,178.49
2,I,0.2,14.19,5.96,11.04,84.01,91.2,1.08,178.45
3,I,0.3,14.2,5.94,11.03,86.75,90.15,0.66,178.6
4,I,0.4,14.21,5.94,10.93,88.11,89.58,1.94,178.01
5,I,0.5,14.23,5.95,11.01,87.94,88.98,1.6,178.58
6,I,0.6,14.23,5.96,11.02,87.89,88.39,1.53,179.06
7,I,0.7,14.26,5.96,11.12,87.79,86.85,2.02,178.8
8,I,0.8,14.27,5.95,11.1,88.55,85.03,3.1,177.44
9,I,0.9,14.23,5.94,11.09,89.7,84.0,4.6,175.59
10,I,1.0,14.25,5.95,11.08,91.61,82.85,4.85,174.91
11,I,1.1,14.22,5.97,11.06,92.69,81.87,5.03,174.73
12,I,1.2,14.22,5.98,11.05,92.66,82.82,3.92,175.54
13,I,1.3,14.2,5.99,11.05,91.5,83.24,4.31,175.11
14,I,1.4,14.18,6.01,11.16,90.0,83.0,4.4,175.33
15,I,1.5,14.17,6.04,11.22,88.6,83.2,5.41,174.42
16,I,1.6,14.15,6.06,11.27,87.94,82.97,4.8,174.95
17,I,1.7,14.16,6.09,11.33,87.5,82.26,3.22,176.02
18,I,1.8,14.15,6.14,11.32,87.1,82.81,3.55,174.78
19,I,1.9,14.18,6.21,11.45,86.32,82.8,3.28,174.04
20,I,2.0,14.21,6.32,11.6,84.56,82.68,3.6,173.13
21,I,2.1,14.28,6.45,11.8,82.34,82.79,4.01,172.42
22,I,2.2,14.29,6.55,11.86,82.33,82.8,2.93,173.18
23,I,2.3,14.32,6.63,11.98,82.39,82.93,0.9,174.05
24,I,2.4,14.33,6.67,11.98,83.25,82.75,0.4,174.49
25,I,2.5,14.32,6.7,11.96,84.66,82.77,1.85,173.85
26,I,2.6,14.31,6.71,11.93,85.16,83.59,2.78,172.9
27,I,2.7,14.35,6.7,11.94,84.17,84.18,2.44,172.1
28,I,2.8,14.36,6.66,11.87,84.29,85.76,1.38,171.34
29,I,2.9,14.31,6.6,11.77,84.44,86.93,2.31,170.8
30,I,3.0,14.28,6.51,11.62,85.37,87.68,3.89,171.41
31,I,3.1,14.27,6.4,11.49,86.04,89.12,4.41,172.02
32,I,3.2,14.22,6.28,11.34,86.67,89.25,4.05,172.26
33,I,3.3,14.2,6.2,11.26,86.39,89.93,3.11,172.5
34,I,3.4,14.24,6.16,11.29,85.56,91.13,2.9,172.84
