,Dimer ID,Time (ps),Mean Distance,Centroid Distance,Distance of Wing Roots,Angle of Wing1,Angle of Wing2,Theta_n,Theta_w
0,N,0.0,6.99,5.37,6.81,81.72,75.7,3.56,42.32
1,N,0.1,6.96,5.35,6.89,82.39,77.04,4.93,43.67
2,N,0.2,6.99,5.38,6.94,82.74,77.74,4.43,43.61
3,N,0.3,7.02,5.43,6.95,82.59,79.78,4.84,43.02
4,N,0.4,7.01,5.46,7.01,81.65,81.07,6.26,42.69
5,N,0.5,7.02,5.47,7.07,81.34,81.49,8.17,41.86
6,N,0.6,7.01,5.47,7.09,80.39,82.69,8.99,40.96
7,N,0.7,7.0,5.46,7.05,79.46,84.54,9.71,40.88
8,N,0.8,6.97,5.42,7.02,78.46,85.32,9.67,41.13
9,N,0.9,6.96,5.4,7.02,77.08,86.27,8.07,41.8
10,N,1.0,6.99,5.43,7.14,74.57,86.87,7.24,43.05
11,N,1.1,7.08,5.51,7.16,73.04,87.91,5.79,42.77
12,N,1.2,7.15,5.6,7.25,71.92,88.41,4.61,41.94
13,N,1.3,7.21,5.66,7.32,70.4,88.36,4.02,41.84
14,N,1.4,7.25,5.68,7.34,69.71,88.35,3.78,41.4
15,N,1.5,7.25,5.69,7.31,69.87,89.48,3.43,40.74
16,N,1.6,7.2,5.67,7.22,69.04,90.54,3.19,40.29
17,N,1.7,7.16,5.64,7.24,67.87,91.84,3.61,40.14
18,N,1.8,7.13,5.65,7.2,67.76,91.68,3.0,40.29
19,N,1.9,7.12,5.68,7.24,67.55,91.77,3.64,39.89
20,N,2.0,7.11,5.73,7.21,67.7,92.32,4.03,38.31
21,N,2.1,7.11,5.76,7.13,68.98,91.84,3.79,37.55
22,N,2.2,7.12,5.81,7.2,69.7,91.2,3.17,37.58
23,N,2.3,7.1,5.83,7.29,69.82,91.06,2.63,37.43
24,N,2.4,7.05,5.79,7.25,70.24,90.23,2.4,36.7
25,N,2.5,6.99,5.73,7.18,71.8,89.11,3.25,36.59
26,N,2.6,6.95,5.7,7.19,73.34,87.93,4.47,36.97
27,N,2.7,6.95,5.67,7.09,74.83,86.84,4.06,36.77
28,N,2.8,6.92,5.65,7.1,76.51,84.98,4.68,37.03
29,N,2.9,6.89,5.63,7.02,77.76,82.94,4.45,36.51
30,N,3.0,6.91,5.63,6.96,78.26,81.85,3.72,36.75
31,N,3.1,6.91,5.6,6.99,78.89,80.26,3.37,37.83
32,N,3.2,6.9,5.55,6.97,79.36,79.24,4.0,39.44
33,N,3.3,6.92,5.5,6.97,79.99,79.44,4.12,41.14
34,N,3.4,6.94,5.47,6.87,80.51,79.55,4.03,41.93
35,N,3.5,6.99,5.47,6.93,80.72,78.9,6.29,42.42
36,N,3.6,7.03,5.49,7.04,80.28,78.57,7.36,42.9
37,N,3.7,7.08,5.49,7.09,80.15,78.42,8.25,43.02
38,N,3.8,7.08,5.45,7.07,79.93,78.41,8.65,43.17
39,N,3.9,7.05,5.37,7.06,80.13,79.72,9.6,44.23
40,N,4.0,7.05,5.31,6.96,80.29,81.62,9.85,44.91
41,N,4.1,7.03,5.26,6.98,80.35,82.3,11.11,45.91
42,N,4.2,7.01,5.21,6.98,80.58,81.84,11.7,46.5
43,N,4.3,7.0,5.19,6.96,80.38,81.89,11.97,46.02
44,N,4.4,7.03,5.22,6.94,79.95,83.11,12.78,45.21
45,N,4.5,7.09,5.31,7.05,80.14,84.31,12.44,44.98
46,N,4.6,7.15,5.38,7.11,80.25,85.54,12.2,44.44
47,N,4.7,7.17,5.43,7.21,80.03,87.14,11.63,44.11
48,N,4.8,7.13,5.45,7.25,79.52,88.13,11.01,43.81
49,N,4.9,7.11,5.43,7.09,78.36,87.99,9.25,43.2
50,N,5.0,7.07,5.42,7.06,76.59,88.53,8.25,43.12
51,N,5.1,7.06,5.43,7.02,75.01,89.71,7.22,43.3
52,N,5.2,7.03,5.41,6.97,73.18,91.32,6.07,42.14
53,N,5.3,6.99,5.38,6.81,72.27,92.46,4.13,41.1
54,N,5.4,6.93,5.36,6.78,71.69,93.36,3.0,40.06
55,N,5.5,6.98,5.45,6.89,72.24,93.74,3.71,40.0
56,N,5.6,7.03,5.52,6.97,71.87,93.51,4.19,39.68
57,N,5.7,7.03,5.54,7.02,71.82,93.79,4.32,40.19
58,N,5.8,7.03,5.56,7.05,71.7,93.52,4.7,40.04
59,N,5.9,7.08,5.63,7.14,70.77,92.84,4.42,39.94
60,N,6.0,7.15,5.72,7.26,69.46,91.76,5.0,39.98
61,N,6.1,7.19,5.78,7.39,69.72,89.49,6.38,40.41
62,N,6.2,7.2,5.81,7.41,70.07,87.73,6.35,40.29
63,N,6.3,7.18,5.8,7.33,70.64,86.9,5.84,40.03
64,N,6.4,7.11,5.76,7.38,71.12,86.42,6.51,39.74
65,N,6.5,7.05,5.71,7.32,71.51,85.85,5.91,39.77
66,N,6.6,7.0,5.66,7.33,70.56,84.52,5.72,39.71
67,N,6.7,6.94,5.6,7.19,70.33,83.03,5.99,39.34
68,N,6.8,6.88,5.54,7.13,70.49,81.0,6.05,38.73
69,N,6.9,6.87,5.52,7.06,70.97,78.9,4.83,38.27
70,N,7.0,6.87,5.5,7.04,71.79,77.83,4.41,38.65
71,N,7.1,6.85,5.51,7.01,73.03,76.58,4.36,38.84
72,N,7.2,6.9,5.55,7.06,74.15,76.41,4.0,39.13
73,N,7.3,6.9,5.54,7.11,75.27,76.57,4.34,40.04
74,N,7.4,6.88,5.51,7.12,77.29,76.19,4.78,40.41
75,N,7.5,6.95,5.54,7.1,79.55,75.98,4.77,40.2
76,N,7.6,7.05,5.6,7.05,80.73,77.1,4.14,40.34
77,N,7.7,7.14,5.67,7.17,80.83,77.31,5.05,41.22
78,N,7.8,7.2,5.69,7.18,81.0,77.61,4.65,41.48
79,N,7.9,7.23,5.7,7.23,80.82,79.4,3.92,42.02
80,N,8.0,7.22,5.65,7.21,81.3,81.26,2.96,43.07
81,N,8.1,7.2,5.58,7.12,82.05,82.76,2.29,43.9
82,N,8.2,7.16,5.5,7.04,83.18,85.04,2.53,44.18
83,N,8.3,7.12,5.44,6.99,82.96,85.96,3.42,44.63
84,N,8.4,7.13,5.38,6.95,81.51,86.22,3.6,44.32
85,N,8.5,7.08,5.31,6.84,79.87,86.72,3.54,43.14
86,N,8.6,7.09,5.27,6.85,79.17,87.33,5.33,43.1
87,N,8.7,7.12,5.27,6.88,78.57,88.48,6.04,43.65
88,N,8.8,7.13,5.28,6.89,79.25,89.88,6.96,44.39
89,N,8.9,7.12,5.27,6.94,79.46,91.36,8.26,44.54
90,N,9.0,7.11,5.3,7.02,78.99,92.42,9.06,44.87
91,N,9.1,7.17,5.38,7.15,77.15,93.12,9.52,45.34
92,N,9.2,7.19,5.44,7.25,75.69,93.63,11.22,45.57
93,N,9.3,7.19,5.46,7.24,73.72,93.59,11.92,45.16
94,N,9.4,7.2,5.47,7.17,72.73,93.24,10.85,44.33
95,N,9.5,7.18,5.45,7.12,71.56,93.49,10.41,44.16
96,N,9.6,7.1,5.43,7.12,71.46,93.24,9.9,43.93
97,N,9.7,7.07,5.44,7.13,70.83,92.37,9.96,43.1
98,N,9.8,7.05,5.46,7.12,70.51,91.87,9.63,42.58
99,N,9.9,7.0,5.49,7.17,69.92,91.38,7.79,41.94
100,N,10.0,6.97,5.5,7.16,70.04,89.91,7.14,40.69
101,N,10.1,6.92,5.49,7.07,70.21,88.38,6.55,39.33
102,N,10.2,6.89,5.51,7.05,71.13,86.27,5.69,38.87
103,N,10.3,6.89,5.53,6.96,71.15,83.85,3.96,38.07
104,N,10.4,6.85,5.55,7.01,71.47,82.24,4.75,37.59
105,N,10.5,6.81,5.55,7.02,72.11,81.42,3.85,37.35
106,N,10.6,6.82,5.6,7.03,73.46,80.7,3.21,36.97
107,N,10.7,6.87,5.66,7.09,75.0,80.27,3.22,36.91
108,N,10.8,6.93,5.73,7.19,75.6,80.06,2.76,37.44
109,N,10.9,6.99,5.78,7.18,75.45,79.1,2.96,37.05
110,N,11.0,7.05,5.82,7.28,75.49,76.91,2.57,37.48
111,N,11.1,7.09,5.85,7.27,74.3,76.01,1.86,38.18
112,N,11.2,7.1,5.82,7.31,73.67,76.46,0.97,39.01
113,N,11.3,7.11,5.79,7.3,75.44,77.07,0.6,40.05
114,N,11.4,7.11,5.76,7.2,76.36,77.29,1.64,40.89
115,N,11.5,7.11,5.72,7.19,76.5,77.95,2.05,40.88
116,N,11.6,7.08,5.68,7.13,76.97,78.37,1.48,40.85
117,N,11.7,7.08,5.63,7.14,76.74,78.52,1.03,40.67
118,N,11.8,7.09,5.59,7.06,75.47,79.01,1.16,40.82
119,N,11.9,7.09,5.54,7.05,76.12,80.05,1.85,41.07
120,N,12.0,7.06,5.49,7.03,77.07,81.78,2.77,41.69
121,N,12.1,7.04,5.43,7.02,76.41,83.69,3.93,42.24
122,N,12.2,7.07,5.44,7.06,76.19,85.63,4.7,42.58
123,N,12.3,7.09,5.47,7.1,76.83,86.88,6.16,42.88
124,N,12.4,7.11,5.5,7.19,76.05,88.32,7.77,43.14
125,N,12.5,7.13,5.49,7.18,75.27,89.91,8.07,43.33
126,N,12.6,7.1,5.44,7.2,75.52,90.92,9.06,43.61
127,N,12.7,7.1,5.4,7.04,75.49,92.33,9.84,43.5
128,N,12.8,7.09,5.39,7.04,75.01,93.49,11.13,43.96
129,N,12.9,7.06,5.34,7.1,75.47,92.65,12.95,44.76
130,N,13.0,7.02,5.29,7.06,76.36,93.37,12.96,44.59
131,N,13.1,7.0,5.29,6.94,76.99,93.67,11.4,43.56
132,N,13.2,7.03,5.32,6.95,77.32,94.0,11.84,43.39
133,N,13.3,7.02,5.32,6.95,77.66,94.44,11.67,42.82
134,N,13.4,6.98,5.3,6.93,77.42,93.75,11.83,42.55
135,N,13.5,6.94,5.26,6.82,76.93,92.93,11.04,42.01
136,N,13.6,6.88,5.2,6.66,76.42,92.07,9.19,41.02
137,N,13.7,6.82,5.16,6.6,76.28,91.98,8.19,41.43
138,N,13.8,6.8,5.17,6.75,76.05,92.39,9.18,42.04
139,N,13.9,6.85,5.26,6.76,76.09,91.73,8.57,41.27
140,N,14.0,6.85,5.33,6.78,76.74,91.53,7.61,40.18
141,N,14.1,6.88,5.39,6.89,77.55,91.51,7.65,40.24
142,N,14.2,6.95,5.52,7.07,77.51,89.62,7.81,40.18
143,N,14.3,7.02,5.65,7.19,77.88,87.92,7.79,40.04
