,Monomer ID,Time (ps),Angle of Wing
0,R,0.0,89.4
1,R,0.1,89.26
2,R,0.2,89.58
3,R,0.3,89.52
4,R,0.4,89.94
5,R,0.5,91.74
6,R,0.6,92.72
7,R,0.7,92.45
8,R,0.8,91.54
9,R,0.9,91.01
10,R,1.0,89.8
11,R,1.1,89.87
12,R,1.2,89.98
13,R,1.3,90.39
14,R,1.4,88.99
15,R,1.5,87.36
16,R,1.6,85.33
17,R,1.7,84.06
18,R,1.8,83.69
19,R,1.9,84.62
20,R,2.0,83.62
21,R,2.1,81.91
22,R,2.2,79.91
23,R,2.3,77.62
24,R,2.4,75.74
25,R,2.5,75.16
26,R,2.6,74.22
27,R,2.7,73.44
28,R,2.8,72.17
29,R,2.9,70.38
30,R,3.0,69.09
31,R,3.1,69.09
32,R,3.2,70.38
33,R,3.3,71.8
34,R,3.4,72.17
35,R,3.5,71.81
36,R,3.6,70.98
37,R,3.7,70.44
38,R,3.8,70.9
39,R,3.9,71.85
40,R,4.0,72.69
41,R,4.1,72.89
42,R,4.2,72.78
43,R,4.3,72.19
44,R,4.4,72.33
45,R,4.5,73.69
46,R,4.6,76.05
47,R,4.7,77.58
48,R,4.8,78.68
49,R,4.9,78.48
50,R,5.0,78.21
51,R,5.1,78.27
52,R,5.2,79.2
53,R,5.3,80.92
54,R,5.4,82.93
55,R,5.5,84.33
56,R,5.6,85.11
57,R,5.7,85.6
58,R,5.8,86.81
59,R,5.9,88.96
60,R,6.0,91.28
61,R,6.1,93.61
62,R,6.2,94.51
63,R,6.3,93.85
64,R,6.4,92.94
65,R,6.5,92.74
66,R,6.6,92.62
67,R,6.7,93.15
68,R,6.8,93.21
69,R,6.9,92.93
70,R,7.0,91.78
71,R,7.1,91.0
72,R,7.2,90.25
73,R,7.3,90.37
74,R,7.4,90.49
75,R,7.5,90.91
76,R,7.6,90.31
77,R,7.7,88.25
78,R,7.8,85.54
79,R,7.9,84.42
80,R,8.0,83.39
81,R,8.1,82.38
82,R,8.2,82.89
83,R,8.3,82.81
84,R,8.4,81.38
85,R,8.5,80.17
86,R,8.6,79.33
87,R,8.7,79.04
88,R,8.8,78.81
89,R,8.9,78.52
90,R,9.0,77.88
91,R,9.1,75.47
92,R,9.2,72.92
93,R,9.3,71.63
94,R,9.4,70.21
95,R,9.5,68.82
96,R,9.6,69.27
97,R,9.7,69.36
98,R,9.8,68.06
99,R,9.9,66.93
100,R,10.0,66.74
101,R,10.1,67.01
102,R,10.2,67.38
103,R,10.3,68.79
104,R,10.4,69.59
105,R,10.5,69.41
106,R,10.6,69.4
107,R,10.7,70.1
108,R,10.8,71.55
109,R,10.9,73.34
110,R,11.0,75.69
